Start point [1766529314.0988185]
[2025-12-23 23:35:14] Micro Generative Pre-trained Transformer test arch - V0.0.1.
[2025-12-23 23:35:14] To change any setting, go check config.json.
[2025-12-23 23:35:14] PyTorch version: 2.0.1+cu117
[2025-12-23 23:35:14] CUDA status : True
[2025-12-23 23:35:14] 1 GPU detected.
[2025-12-23 23:35:14]  -> Device 0: NVIDIA GeForce GTX 970
[2025-12-23 23:35:14] Using device: cuda.
[2025-12-23 23:35:14] Loading data from data/tiny_sheakespeare.txt...
[2025-12-23 23:35:14] Data loaded successfully from data/tiny_sheakespeare.txt.
[2025-12-23 23:35:14] Initializing tokenizer...
[2025-12-23 23:35:14] Tokenizer initialized with vocab size 10000.
[2025-12-23 23:35:14] Existing tokenizer found. Loading vocabulary...
[2025-12-23 23:35:14] Vocabulary loaded from model/tokenizer.json.
[2025-12-23 23:35:14] Embedding module initialized.
[2025-12-23 23:35:14] No existing embedding table found. Creating new embedding table...
[2025-12-23 23:35:14] Embedding model created based on DNN configuration. The embedding model has 13073424 parameters.
[2025-12-23 23:38:15] Preparing training data for embedding model...
[2025-12-23 23:38:15] Transforming the data to one-hot vectors...
[2025-12-23 23:54:30] Epoch [7/10] - Loss: 0.0001
[2025-12-23 23:54:30] Epoch [8/10] - Loss: 0.0001
[2025-12-23 23:54:31] Epoch [9/10] - Loss: 0.0001
[2025-12-23 23:54:32] Epoch [10/10] - Loss: 0.0001
[2025-12-23 23:56:27] Epoch [1/10] - Loss: 0.0001
[2025-12-23 23:56:28] Epoch [2/10] - Loss: 0.0001
[2025-12-23 23:56:29] Epoch [3/10] - Loss: 0.0001
[2025-12-23 23:56:30] Epoch [4/10] - Loss: 0.0001
[2025-12-23 23:56:32] Epoch [5/10] - Loss: 0.0001
[2025-12-23 23:56:33] Epoch [6/10] - Loss: 0.0001
[2025-12-23 23:56:34] Epoch [7/10] - Loss: 0.0001
[2025-12-23 23:56:35] Epoch [8/10] - Loss: 0.0001
[2025-12-23 23:56:37] Epoch [9/10] - Loss: 0.0001
[2025-12-23 23:56:38] Epoch [10/10] - Loss: 0.0001
[2025-12-23 23:58:28] Epoch [1/10] - Loss: 0.0001
[2025-12-23 23:58:29] Epoch [2/10] - Loss: 0.0001
[2025-12-23 23:58:29] Epoch [3/10] - Loss: 0.0001
[2025-12-23 23:58:30] Epoch [4/10] - Loss: 0.0001
[2025-12-23 23:58:30] Epoch [5/10] - Loss: 0.0001
[2025-12-23 23:58:31] Epoch [6/10] - Loss: 0.0001
[2025-12-23 23:58:31] Epoch [7/10] - Loss: 0.0001
[2025-12-23 23:58:32] Epoch [8/10] - Loss: 0.0001
[2025-12-23 23:58:32] Epoch [9/10] - Loss: 0.0001
[2025-12-23 23:58:33] Epoch [10/10] - Loss: 0.0001
[2025-12-23 23:59:56] Epoch [1/10] - Loss: 0.0001
[2025-12-23 23:59:56] Epoch [2/10] - Loss: 0.0001
[2025-12-23 23:59:57] Epoch [3/10] - Loss: 0.0001
[2025-12-23 23:59:57] Epoch [4/10] - Loss: 0.0001
[2025-12-23 23:59:58] Epoch [5/10] - Loss: 0.0001
[2025-12-23 23:59:58] Epoch [6/10] - Loss: 0.0001
[2025-12-23 23:59:58] Epoch [7/10] - Loss: 0.0001
[2025-12-23 23:59:59] Epoch [8/10] - Loss: 0.0001
[2025-12-23 23:59:59] Epoch [9/10] - Loss: 0.0001
[2025-12-24 00:00:00] Epoch [10/10] - Loss: 0.0001
[2025-12-24 00:01:36] Epoch [1/10] - Loss: 0.0001
[2025-12-24 00:01:37] Epoch [2/10] - Loss: 0.0001
[2025-12-24 00:01:38] Epoch [3/10] - Loss: 0.0001
[2025-12-24 00:01:39] Epoch [4/10] - Loss: 0.0001
[2025-12-24 00:01:40] Epoch [5/10] - Loss: 0.0001
[2025-12-24 00:01:41] Epoch [6/10] - Loss: 0.0001
[2025-12-24 00:01:42] Epoch [7/10] - Loss: 0.0001
[2025-12-24 00:01:43] Epoch [8/10] - Loss: 0.0001
[2025-12-24 00:01:44] Epoch [9/10] - Loss: 0.0001
[2025-12-24 00:01:45] Epoch [10/10] - Loss: 0.0001
[2025-12-24 00:03:21] Epoch [1/10] - Loss: 0.0001
[2025-12-24 00:03:22] Epoch [2/10] - Loss: 0.0001
[2025-12-24 00:03:22] Epoch [3/10] - Loss: 0.0001
[2025-12-24 00:03:23] Epoch [4/10] - Loss: 0.0001
[2025-12-24 00:03:23] Epoch [5/10] - Loss: 0.0001
[2025-12-24 00:03:24] Epoch [6/10] - Loss: 0.0001
[2025-12-24 00:03:24] Epoch [7/10] - Loss: 0.0001
[2025-12-24 00:03:25] Epoch [8/10] - Loss: 0.0001
[2025-12-24 00:03:25] Epoch [9/10] - Loss: 0.0001
[2025-12-24 00:03:26] Epoch [10/10] - Loss: 0.0001
[2025-12-24 00:04:55] Epoch [1/10] - Loss: 0.0001
[2025-12-24 00:04:55] Epoch [2/10] - Loss: 0.0001
[2025-12-24 00:04:56] Epoch [3/10] - Loss: 0.0001
[2025-12-24 00:04:56] Epoch [4/10] - Loss: 0.0001
[2025-12-24 00:04:57] Epoch [5/10] - Loss: 0.0001
[2025-12-24 00:04:57] Epoch [6/10] - Loss: 0.0001
[2025-12-24 00:04:58] Epoch [7/10] - Loss: 0.0001
[2025-12-24 00:04:58] Epoch [8/10] - Loss: 0.0001
[2025-12-24 00:04:58] Epoch [9/10] - Loss: 0.0001
[2025-12-24 00:04:59] Epoch [10/10] - Loss: 0.0001
[2025-12-24 00:06:45] Epoch [1/10] - Loss: 0.0001
[2025-12-24 00:06:46] Epoch [2/10] - Loss: 0.0001
[2025-12-24 00:06:47] Epoch [3/10] - Loss: 0.0001
[2025-12-24 00:06:48] Epoch [4/10] - Loss: 0.0001
[2025-12-24 00:06:49] Epoch [5/10] - Loss: 0.0001
[2025-12-24 00:06:50] Epoch [6/10] - Loss: 0.0001
[2025-12-24 00:06:51] Epoch [7/10] - Loss: 0.0001
[2025-12-24 00:06:51] Epoch [8/10] - Loss: 0.0001
[2025-12-24 00:06:52] Epoch [9/10] - Loss: 0.0001
[2025-12-24 00:06:53] Epoch [10/10] - Loss: 0.0001
[2025-12-24 00:08:33] Epoch [1/10] - Loss: 0.0001
[2025-12-24 00:08:33] Epoch [2/10] - Loss: 0.0001
[2025-12-24 00:08:34] Epoch [3/10] - Loss: 0.0001
[2025-12-24 00:08:34] Epoch [4/10] - Loss: 0.0001
[2025-12-24 00:08:35] Epoch [5/10] - Loss: 0.0001
[2025-12-24 00:08:35] Epoch [6/10] - Loss: 0.0001
[2025-12-24 00:08:36] Epoch [7/10] - Loss: 0.0001
[2025-12-24 00:08:36] Epoch [8/10] - Loss: 0.0001
[2025-12-24 00:08:37] Epoch [9/10] - Loss: 0.0001
[2025-12-24 00:08:37] Epoch [10/10] - Loss: 0.0001
[2025-12-24 00:10:16] Epoch [1/10] - Loss: 0.0001
[2025-12-24 00:10:17] Epoch [2/10] - Loss: 0.0001
[2025-12-24 00:10:17] Epoch [3/10] - Loss: 0.0001
[2025-12-24 00:10:18] Epoch [4/10] - Loss: 0.0001
[2025-12-24 00:10:18] Epoch [5/10] - Loss: 0.0001
[2025-12-24 00:10:19] Epoch [6/10] - Loss: 0.0001
[2025-12-24 00:10:20] Epoch [7/10] - Loss: 0.0001
[2025-12-24 00:10:20] Epoch [8/10] - Loss: 0.0001
[2025-12-24 00:10:21] Epoch [9/10] - Loss: 0.0001
[2025-12-24 00:10:21] Epoch [10/10] - Loss: 0.0001
[2025-12-24 00:11:59] Epoch [1/10] - Loss: 0.0001
[2025-12-24 00:12:00] Epoch [2/10] - Loss: 0.0001
[2025-12-24 00:12:01] Epoch [3/10] - Loss: 0.0001
[2025-12-24 00:12:02] Epoch [4/10] - Loss: 0.0001
[2025-12-24 00:12:03] Epoch [5/10] - Loss: 0.0001
[2025-12-24 00:12:04] Epoch [6/10] - Loss: 0.0001
[2025-12-24 00:12:05] Epoch [7/10] - Loss: 0.0001
[2025-12-24 00:12:06] Epoch [8/10] - Loss: 0.0001
[2025-12-24 00:12:07] Epoch [9/10] - Loss: 0.0001
[2025-12-24 00:12:08] Epoch [10/10] - Loss: 0.0001
[2025-12-24 00:13:45] Epoch [1/10] - Loss: 0.0001
[2025-12-24 00:13:45] Epoch [2/10] - Loss: 0.0001
[2025-12-24 00:13:45] Epoch [3/10] - Loss: 0.0001
[2025-12-24 00:13:46] Epoch [4/10] - Loss: 0.0001
[2025-12-24 00:13:46] Epoch [5/10] - Loss: 0.0001
[2025-12-24 00:13:47] Epoch [6/10] - Loss: 0.0001
[2025-12-24 00:13:47] Epoch [7/10] - Loss: 0.0001
[2025-12-24 00:13:47] Epoch [8/10] - Loss: 0.0001
[2025-12-24 00:13:48] Epoch [9/10] - Loss: 0.0001
[2025-12-24 00:13:48] Epoch [10/10] - Loss: 0.0001
[2025-12-24 00:15:02] Epoch [1/10] - Loss: 0.0001
[2025-12-24 00:15:02] Epoch [2/10] - Loss: 0.0001
[2025-12-24 00:15:02] Epoch [3/10] - Loss: 0.0001
[2025-12-24 00:15:03] Epoch [4/10] - Loss: 0.0001
[2025-12-24 00:15:03] Epoch [5/10] - Loss: 0.0001
[2025-12-24 00:15:04] Epoch [6/10] - Loss: 0.0001
[2025-12-24 00:15:04] Epoch [7/10] - Loss: 0.0001
[2025-12-24 00:15:04] Epoch [8/10] - Loss: 0.0001
[2025-12-24 00:15:05] Epoch [9/10] - Loss: 0.0001
[2025-12-24 00:15:05] Epoch [10/10] - Loss: 0.0001
[2025-12-24 00:16:24] Epoch [1/10] - Loss: 0.0001
[2025-12-24 00:16:24] Epoch [2/10] - Loss: 0.0001
[2025-12-24 00:16:25] Epoch [3/10] - Loss: 0.0001
[2025-12-24 00:16:26] Epoch [4/10] - Loss: 0.0001
[2025-12-24 00:16:27] Epoch [5/10] - Loss: 0.0001
[2025-12-24 00:16:28] Epoch [6/10] - Loss: 0.0001
[2025-12-24 00:16:29] Epoch [7/10] - Loss: 0.0001
[2025-12-24 00:16:30] Epoch [8/10] - Loss: 0.0001
[2025-12-24 00:16:31] Epoch [9/10] - Loss: 0.0001
[2025-12-24 00:16:32] Epoch [10/10] - Loss: 0.0001
[2025-12-24 00:17:51] Epoch [1/10] - Loss: 0.0001
[2025-12-24 00:17:52] Epoch [2/10] - Loss: 0.0001
[2025-12-24 00:17:52] Epoch [3/10] - Loss: 0.0001
[2025-12-24 00:17:53] Epoch [4/10] - Loss: 0.0001
[2025-12-24 00:17:53] Epoch [5/10] - Loss: 0.0001
[2025-12-24 00:17:53] Epoch [6/10] - Loss: 0.0001
[2025-12-24 00:17:54] Epoch [7/10] - Loss: 0.0001
[2025-12-24 00:17:54] Epoch [8/10] - Loss: 0.0001
[2025-12-24 00:17:55] Epoch [9/10] - Loss: 0.0001
[2025-12-24 00:17:55] Epoch [10/10] - Loss: 0.0001
[2025-12-24 00:19:09] Epoch [1/10] - Loss: 0.0001
[2025-12-24 00:19:09] Epoch [2/10] - Loss: 0.0001
[2025-12-24 00:19:10] Epoch [3/10] - Loss: 0.0001
[2025-12-24 00:19:10] Epoch [4/10] - Loss: 0.0001
[2025-12-24 00:19:11] Epoch [5/10] - Loss: 0.0001
[2025-12-24 00:19:11] Epoch [6/10] - Loss: 0.0001
[2025-12-24 00:19:12] Epoch [7/10] - Loss: 0.0001
[2025-12-24 00:19:12] Epoch [8/10] - Loss: 0.0001
[2025-12-24 00:19:12] Epoch [9/10] - Loss: 0.0001
[2025-12-24 00:19:13] Epoch [10/10] - Loss: 0.0001
[2025-12-24 00:20:31] Epoch [1/10] - Loss: 0.0001
[2025-12-24 00:20:32] Epoch [2/10] - Loss: 0.0001
[2025-12-24 00:20:33] Epoch [3/10] - Loss: 0.0001
[2025-12-24 00:20:34] Epoch [4/10] - Loss: 0.0001
[2025-12-24 00:20:35] Epoch [5/10] - Loss: 0.0001
[2025-12-24 00:20:36] Epoch [6/10] - Loss: 0.0001
[2025-12-24 00:20:36] Epoch [7/10] - Loss: 0.0001
[2025-12-24 00:20:37] Epoch [8/10] - Loss: 0.0001
[2025-12-24 00:20:38] Epoch [9/10] - Loss: 0.0001
[2025-12-24 00:20:39] Epoch [10/10] - Loss: 0.0001
